t,0,1,2,3,4,5,6,7,8,9
395.29898,-0.07080151,-0.06931616,-0.08372952,-0.015128528,-0.05308738,-0.050996892,-0.056498174,-0.09093621,-0.084719755,-0.03735371
395.524,-0.1012236,-0.07877837,-0.08653518,-0.0480262,-0.07124161,-0.08840562,-0.08224418,-0.09528222,-0.12229352,-0.060018994
395.74896,-0.117782466,-0.08466474,-0.085104845,-0.06067915,-0.08383955,-0.09990329,-0.10259892,-0.09022104,-0.14457372,-0.06992131
395.97394,-0.13901742,-0.09715266,-0.10953054,-0.07954855,-0.0981979,-0.11558195,-0.113821544,-0.094291985,-0.17119992,-0.08488479
396.19894,-0.12922513,-0.09154134,-0.10854031,-0.072616935,-0.09726268,-0.11574699,-0.112336196,-0.1041943,-0.15662152,-0.08587503
396.42392,-0.10639481,-0.10221384,-0.11866267,-0.05253725,-0.1050745,-0.11585701,-0.12251357,-0.122458555,-0.12691459,-0.08598505
396.6489,-0.061559353,-0.09462206,-0.111566015,-0.0033557825,-0.08477477,-0.08383955,-0.1033691,-0.11959789,-0.07778814,-0.0591938
396.8739,-0.032952685,-0.088845715,-0.10991563,0.0146334125,-0.06920614,-0.057488404,-0.08345446,-0.120863184,-0.049841624,-0.040984556
397.09888,-0.022940349,-0.07619277,-0.09808787,0.019144464,-0.050721828,-0.03614343,-0.05413262,-0.114866786,-0.03427299,-0.024810785
397.32385,-0.018429298,-0.05820357,-0.07201179,0.03190744,-0.026351145,-0.015348579,-0.033722863,-0.08901075,-0.029321838,-0.0050061676
397.54886,-0.04103957,-0.04224985,-0.04923648,0.027506415,-0.014138297,-0.012542925,-0.016448835,-0.061779406,-0.023710528,-0.004786116
397.77383,-0.05583802,-0.0480262,-0.05506784,0.0033007697,-0.04918147,-0.057048302,-0.04824625,-0.057433393,-0.026791247,-0.030587133
397.9988,-0.04081952,-0.07745806,-0.09473209,-0.0067665777,-0.07173673,-0.077183,-0.09572232,-0.08559996,-0.01595372,-0.039994325
